PWM Direito,PWM Esquerdo,Velocidade Linear
87,90,"20,12"
92,95,"23,43"
96,98,"24,28"
100,105,"26,05"
105,114,"28,03"
110,120,"29,08"
115,125,"29,58"
120,130,"30,56"
125,135,"32,58"
130,140,"32,93"
135,145,"33,93"
140,150,"34,89"
145,155,"35,60"
150,160,"35,11"
155,165,"36,12"
160,170,"36,20"
165,175,"36,70"
170,180,"36,73"
175,185,"37,02"
180,190,"37,96"
185,195,"37,20"
190,200,"39,19"
215,205,"39,23"
220,210,"38,59"
225,215,"38,63"
230,220,"40,66"
215,225,"40,96"
240,230,"41,55"
245,235,"44,01"
250,240,"44,84"
255,250,"43,85"